"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"217",1985,"Female",65.2116249693664,65.8446719004324,65.5903821859329,"Scotland and Northern Ireland"
"218",1985,"Male",61.087062504804,61.7820607123863,61.4848583656115,"Scotland and Northern Ireland"
"219",1986,"Female",65.1573044394298,65.9026258581555,65.5536506032381,"Scotland and Northern Ireland"
"220",1986,"Male",61.1612378211766,61.8542537488859,61.4253275742719,"Scotland and Northern Ireland"
"221",1987,"Female",65.6340345179136,66.3049240999856,65.9649816068004,"Scotland and Northern Ireland"
"222",1987,"Male",61.0049728557643,61.7177020844971,61.4015005838316,"Scotland and Northern Ireland"
"223",1988,"Female",65.7102620842908,66.3221893805785,65.9685815735998,"Scotland and Northern Ireland"
"224",1988,"Male",61.285311967031,62.0292616707102,61.6677880342383,"Scotland and Northern Ireland"
"225",1989,"Female",65.5273433613267,66.3131093933103,65.9252894792124,"Scotland and Northern Ireland"
"226",1989,"Male",60.849444985748,61.4607120315334,61.1456208771636,"Scotland and Northern Ireland"
"227",1990,"Female",65.503089284217,66.2653659863257,65.9493396666075,"Scotland and Northern Ireland"
"228",1990,"Male",60.9129427022902,61.5638261329412,61.2119053171311,"Scotland and Northern Ireland"
"229",1991,"Female",65.8942493169756,66.4575635785715,66.1546499381964,"Scotland and Northern Ireland"
"230",1991,"Male",60.960827411867,61.6368241497203,61.3193852633917,"Scotland and Northern Ireland"
"231",1992,"Female",66.127326816704,67.0129960833509,66.5559343912543,"Scotland and Northern Ireland"
"232",1992,"Male",61.3620118779445,62.0314104028399,61.6566343210675,"Scotland and Northern Ireland"
"233",1993,"Female",66.1299044819338,67.0609192748275,66.63482003886,"Scotland and Northern Ireland"
"234",1993,"Male",61.1649924054401,61.9287067346317,61.5370196893533,"Scotland and Northern Ireland"
"235",1994,"Female",65.0549583382742,65.9628209753539,65.5563967600347,"Scotland and Northern Ireland"
"236",1994,"Male",61.2438698906454,62.0914943815859,61.6179579951959,"Scotland and Northern Ireland"
"237",1995,"Female",66.4208233472797,67.0333606337004,66.7504874071658,"Scotland and Northern Ireland"
"238",1995,"Male",61.0382340355222,61.8456061293283,61.4734730554815,"Scotland and Northern Ireland"
"239",1996,"Female",65.8161586635254,66.5279535009325,66.158928584887,"Scotland and Northern Ireland"
"240",1996,"Male",61.2619038897676,61.9925590440535,61.6035629486778,"Scotland and Northern Ireland"
"241",1997,"Female",66.0973020338745,66.8255995825434,66.5059791901327,"Scotland and Northern Ireland"
"242",1997,"Male",61.1231690724835,61.899036494828,61.4885424231019,"Scotland and Northern Ireland"
"243",1998,"Female",66.055932917358,67.0325539569501,66.5067969220861,"Scotland and Northern Ireland"
"244",1998,"Male",61.0710554806919,61.6859304361797,61.3384332164624,"Scotland and Northern Ireland"
"245",1999,"Female",66.1788970106161,67.0677941473986,66.687157087767,"Scotland and Northern Ireland"
"246",1999,"Male",61.4180233218785,62.1460932336761,61.8091401273022,"Scotland and Northern Ireland"
"247",2000,"Female",66.0941338044243,66.9224434395067,66.4974993222786,"Scotland and Northern Ireland"
"248",2000,"Male",61.0564753813031,61.8475939850057,61.3672898166546,"Scotland and Northern Ireland"
"249",2001,"Female",66.2952827330991,67.0528080303033,66.6742681798089,"Scotland and Northern Ireland"
"250",2001,"Male",61.3213914895589,62.116793876698,61.6486314130514,"Scotland and Northern Ireland"
"251",2002,"Female",65.9347899958133,66.8365351879005,66.3550612902726,"Scotland and Northern Ireland"
"252",2002,"Male",61.3333597457953,62.0473518593654,61.6157547528701,"Scotland and Northern Ireland"
"253",2003,"Female",66.2153836454373,66.9615917431198,66.5598032746321,"Scotland and Northern Ireland"
"254",2003,"Male",60.9186746622859,61.7406535288824,61.2917295396939,"Scotland and Northern Ireland"
"255",2004,"Female",65.6587993557623,66.6234600490499,66.2148218971387,"Scotland and Northern Ireland"
"256",2004,"Male",61.0434115996408,61.9341009410796,61.4455440914642,"Scotland and Northern Ireland"
"257",2005,"Female",66.1502838285153,66.7596583213977,66.4109741387475,"Scotland and Northern Ireland"
"258",2005,"Male",60.6542343862534,61.6802456822512,61.14412063601,"Scotland and Northern Ireland"
"259",2006,"Female",65.794643958563,66.5597761704849,66.163178658952,"Scotland and Northern Ireland"
"260",2006,"Male",61.2271810116559,61.889489694915,61.5912376567594,"Scotland and Northern Ireland"
"261",2007,"Female",66.0484234652614,66.74633738317,66.4054534152001,"Scotland and Northern Ireland"
"262",2007,"Male",61.216964800597,61.8668177129621,61.5183277651137,"Scotland and Northern Ireland"
"263",2008,"Female",65.9547885047222,66.704999421129,66.3980693626547,"Scotland and Northern Ireland"
"264",2008,"Male",61.2392853432604,61.9212908283856,61.6377839761772,"Scotland and Northern Ireland"
"265",2009,"Female",65.8916818661426,66.7327105939781,66.3123999176919,"Scotland and Northern Ireland"
"266",2009,"Male",61.3719276982416,61.8889499139302,61.5925916496089,"Scotland and Northern Ireland"
"267",2010,"Female",65.8462171914299,66.5962938542656,66.249565732942,"Scotland and Northern Ireland"
"268",2010,"Male",61.0751258027015,61.8749250910788,61.4428544465795,"Scotland and Northern Ireland"
"269",2011,"Female",66.2039004252546,67.008037891509,66.5733520266285,"Scotland and Northern Ireland"
"270",2011,"Male",61.037467926006,61.9381501461923,61.47202772321,"Scotland and Northern Ireland"
"271",2012,"Female",66.1871429068652,67.0854755495831,66.556885846437,"Scotland and Northern Ireland"
"272",2012,"Male",61.266792309889,61.9779518123451,61.5575151827388,"Scotland and Northern Ireland"
"273",2013,"Female",65.4488877690189,66.3267401715419,65.898963972247,"Scotland and Northern Ireland"
"274",2013,"Male",60.9367730096635,61.80300086808,61.3695249598358,"Scotland and Northern Ireland"
"275",2014,"Female",65.973687888681,66.7695127178853,66.3536762777773,"Scotland and Northern Ireland"
"276",2014,"Male",60.6741431179948,61.5756171183805,61.153158637378,"Scotland and Northern Ireland"
"277",2015,"Female",65.9098674284483,66.662762354923,66.3104816208738,"Scotland and Northern Ireland"
"278",2015,"Male",60.8399793946114,61.6505262359768,61.3060851623149,"Scotland and Northern Ireland"
"279",2016,"Female",65.913174231063,66.7058527354084,66.2678336299449,"Scotland and Northern Ireland"
"280",2016,"Male",60.7511611023401,61.5752007787108,61.1421605639188,"Scotland and Northern Ireland"
"281",2017,"Female",1.42899982652156,1.44026104753738,1.4344356603994,"Scotland and Northern Ireland"
"282",2017,"Male",1.42684190306396,1.43857430333683,1.4324866183155,"Scotland and Northern Ireland"
"283",1971,"Female",60.6951096498412,60.9652098257392,60.8444798847187,"Outside UK"
"284",1971,"Male",59.4926322733183,59.8621947263147,59.6277758002436,"Outside UK"
"285",1972,"Female",61.5589416965824,61.8629846028066,61.6988625853197,"Outside UK"
"286",1972,"Male",59.8793830894709,60.258823348873,60.0715373328889,"Outside UK"
"287",1973,"Female",62.2117505129725,62.5006012717825,62.3546624476197,"Outside UK"
"288",1973,"Male",60.4374486232601,60.830958316406,60.6343086150652,"Outside UK"
"289",1974,"Female",62.9306161653589,63.2380020995479,63.0974884110108,"Outside UK"
"290",1974,"Male",60.8108559765203,61.1796448752628,61.0248300593525,"Outside UK"
"291",1975,"Female",63.5583767301437,63.9108777492971,63.7508705968981,"Outside UK"
"292",1975,"Male",61.5603904632804,62.004427629817,61.7584850983379,"Outside UK"
"293",1976,"Female",64.0818373647666,64.4849149116438,64.330710490272,"Outside UK"
